"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","N4Z","2021A0011N4Z","Population, 2021","","0","units","0","","1056.1","2362","","","","0"
"2021","N5A","2021A0011N5A","Population, 2021","","0","units","0","","1057.1","32898","","","","0"


