"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","N7S","2021A0011N7S","Population, 2021","","0","units","0","","1084.1","28410","","","","0"
"2021","N7T","2021A0011N7T","Population, 2021","","0","units","0","","1085.1","26033","","","","0"
"2021","N7V","2021A0011N7V","Population, 2021","","0","units","0","","1086.1","11611","","","","0"
"2021","N7W","2021A0011N7W","Population, 2021","","0","units","0","","1087.1","2578","","","","0"
"2021","N7X","2021A0011N7X","Population, 2021","","0","units","0","","1088.1","1129","","","","0"


