"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","N7L","2021A0011N7L","Population, 2021","","0","units","0","","1082.1","25127","","","","0"
"2021","N7M","2021A0011N7M","Population, 2021","","0","units","0","","1083.1","25579","","","","0"


