"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","15 to 19 years","","0","units","0","","44.1.3.2","75","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","20 to 24 years","","0","units","0","","44.1.3.3","2935","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","25 to 29 years","","0","units","0","","44.1.3.4","19255","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","30 to 34 years","","0","units","0","","44.1.3.5","46995","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","35 to 39 years","","0","units","0","","44.1.3.6","58680","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","40 to 44 years","","0","units","0","","44.1.3.7","56800","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","45 to 49 years","","0","units","0","","44.1.3.8","57200","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","50 to 54 years","","0","units","0","","44.1.3.9","58035","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","55 to 59 years","","0","units","0","","44.1.3.10","64750","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","60 to 64 years","","0","units","0","","44.1.3.11","60275","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","65 to 69 years","","0","units","0","","44.1.3.12","50890","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","70 to 74 years","","0","units","0","","44.1.3.13","42700","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","75 to 79 years","","0","units","0","","44.1.3.14","27895","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Married","80 to 84 years","","0","units","0","","44.1.3.15","16365","","","","0"
