"REF_DATE","GEO","DGUID","Retirement age","Class of worker","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","61.4","","","","1"
"2018","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","61.3","","","","1"
"2019","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","62.3","","","","1"
"2020","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","61.3","","","","1"
"2021","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","61.8","","","","1"
"2022","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","61.8","","","","1"
"2023","Canada","2016A000011124","Median age","Public sector employees","Both sexes","Years","308","units","0","v2342631","1.2.2.1","63.0","","","","1"
"2016","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.2","","","","1"
"2017","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.8","","","","1"
"2018","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.8","","","","1"
"2019","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.8","","","","1"
"2020","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.6","","","","1"
"2021","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.8","","","","1"
"2022","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","64.9","","","","1"
"2023","Canada","2016A000011124","Median age","Private sector employees","Both sexes","Years","308","units","0","v2342633","1.2.3.1","65.1","","","","1"
"2016","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","67.0","","","","1"
"2017","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","67.3","","","","1"
"2018","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","66.8","","","","1"
"2019","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","66.7","","","","1"
"2020","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","66.8","","","","1"
"2021","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","65.9","","","","1"
"2022","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","67.8","","","","1"
"2023","Canada","2016A000011124","Median age","Self-employed","Both sexes","Years","308","units","0","v2342635","1.2.4.1","67.8","","","","1"


